DATE,age,avg_bg,bmr,body_fat,e_caffeine,e_calcium,e_calories,e_carbs,e_cholesterol,e_count,e_fat,e_fiber,e_iron,e_monounsaturated_fat,e_num_drinks,e_num_foods,e_num_mealitems_green,e_num_mealitems_red,e_num_mealitems_with_score,e_num_mealitems_yellow,e_num_water,e_polyunsaturated_fat,e_potassium,e_protein,e_sat_fat,e_sodium,e_sugar,e_trans_fat,e_unsat_fat,e_vitamin_a,e_vitamin_c,gender,goal_body_weight,goal_body_weight_intent,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_steps_3am,m_total_calories,m_workout_count,m_workout_time,max_bg,min_bg,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_clinical_deep,n_count,n_deep,n_duration,n_light,n_quality,n_rem,n_to_bed_phr,num_readings,rhr,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_clinical_deep,s_count,s_deep,s_duration,s_light,s_quality,s_rem,s_to_bed_phr,weight
20160311,24.0,,1386.4314412819178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.4314412819178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160312,24.002739726027396,,1386.418631418904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.418631418904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160313,24.005479452054793,,1386.4058215558903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.4058215558903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160314,24.008219178082193,,1386.3930116928766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.3930116928766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160315,24.01095890410959,,1386.380201829863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.380201829863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160316,24.013698630136986,,1386.3673919668493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.3673919668493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160317,24.016438356164382,,1386.3545821038356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.3545821038356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160318,24.019178082191782,,1386.341772240822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.341772240822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160319,24.02191780821918,,1386.3289623778082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.3289623778082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160320,24.024657534246575,,1386.3161525147946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.3161525147946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160321,24.027397260273972,,1386.3033426517807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.3033426517807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160322,24.03013698630137,,1386.290532788767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.290532788767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160323,24.03287671232877,,1386.2777229257533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.2777229257533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
